STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2012-08,6.5,",X",1671,X,495,",X",13,",X",8,",X",0,",X",0,",X",0,",X",0,",X",0,",X",31,",X",15,",X",66,",X,21,",0,",,X,31,+",0,",,X,31,+",0.59,",,X,21,+",98,",X,05,",0,X,0,",X",2.78,",,,X",0,",,,X",81,",X",89.5,",,,X",72.4,",,,X",50,",X",50,",X",30,",X",37,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2012-09,7.6,",X",1894,X,222,",X",10,",X",7,",X",0,",X",0,",X",0,",X",0,",X",0,",X",30,",X",3,",X",53,",X,25,",0,",,X,30,+",0,",,X,30,+",1.64,",,X,01,",95,",X,01,",6,X,6,",X",4.29,",,,X",0,",,,X",72.2,",X",80.7,",,,X",63.7,",,,X",230,",X",210,",X",40.9,",X",61,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2012-10,7.8,",X",1936,X,42,",X",10,",X",6,",X",0,",X",0,",X",0,",X",0,",X",0,",X",17,",X",0,",X",41,",X,13,",0,",,X,31,+",0,",,X,31,+",3.85,",,X,29,",84,",X,24,",173,X,167,",X",5.82,",,,X",0,",,,X",61,",X",68.9,",,,X",53,",,,X",310,",X",310,",X",40.9,",X",61,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2012-11,7.8,",X",1936,X,0,",X",5,",X",1,",X",0,",X",0,",X",0,",X",2,",X",0,",X",2,",X",0,",X",31,",X,29,",0,",,X,30,+",0,",T,X,08,+",0.5,",,X,13,",72,",X,12,",726,X,552,",X",0.6,",,,X",0,",T,,X",46.6,",X",54.9,",,,X",38.3,",,,X",320,",X",340,",X",30,",X",41,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2012-12,7.8,",X",1936,X,0,",X",13,",X",6,",X",0,",X",0,",X",0,",X",5,",X",0,",X",2,",X",0,",X",29,",X,31,+",0,",,X,31,+",0.2,",,X,26,",1.42,",,X,26,",72,",X,04,",1335,X,609,",X",3.04,",,,X",0.2,",,,X",45.4,",X",52.3,",,,X",38.4,",,,X",310,",X",330,",X",36,",X",49,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2013-01,8.1,",X",0,W,0,",X",12,",X",5,",X",0,",X",0,",X",0,",X",14,",X",4,",X",1,",X",0,",X",15,",X,23,",0,",T,X,28,+",0.4,",,X,25,+",0.86,",,X,30,",72,",X,30,",2101,W,766,",X",2.54,",,,X",0.9,",,,X",40.3,",X",47.4,",,,X",33.1,",,,X",210,",X",200,",X",33.1,",X",43,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2013-02,9.4,",X",0,W,0,",X",13,",X",5,",X",0,",X",0,",X",0,",X",13,",X",0,",X",0,",X",0,",X",18,",X,02,",0,",T,X,03,+",0.2,",,X,02,+",0.62,",,X,26,",60,",X,15,",2848,W,746,",X",1.67,",,,X",0.4,",,,X",38.3,",X",45.1,",,,X",31.6,",,,X",340,",X",330,",X",34.9,",X",46,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2013-03,10.7,",X",0,W,0,",X",8,",X",4,",X",1,",X",1,",X",0,",X",7,",X",0,",X",0,",X",0,",X",28,",X,22,",1,",,X,25,",1.4,",,X,25,",1.03,",,X,06,",63,",X,10,",3504,W,657,",X",2.8,",,,X",1.6,",,,X",43.8,",X",51.5,",,,X",36.1,",,,X",350,",X",350,"1,X",38.9,",X",48,"1,X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2013-04,9.2,",W",39,W,39,",W",9,",W",5,",W",0,",W",0,",W",0,",W",1,",W",0,",W",13,",W",1,",W",31,",W,04,",0,",,W,30,+",0,",,W,30,+",1.37,",,W,19,",91,",W,10,",3727,W,222,",W",2.76,",,,W",0,",,,W",58.9,",W",68.9,",,,W",48.9,",,,W",240,",W",250,",W",42.9,",W",53,",W"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2013-05,8.7,",W",179,W,140,",W",11,",W",4,",W",0,",W",0,",W",0,",W",0,",W",0,",W",19,",W",3,",W",42,",W,14,",0,",,W,31,+",0,",,W,31,+",1.34,",,W,28,",91,",W,31,",3815,W,88,",W",2.82,",,,W",0,",,,W",66.6,",W",75.8,",,,W",57.5,",,,W",100,",W",320,",W",29.1,",W",38,",W"
